gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,RevenueRisk,PredictedChurn
0,0,1,1,19,0,1,0,0,0,0,0,0,0,0,1,3,24.85,434.8,472.15000000000003,0
1,0,1,1,60,1,0,0,2,2,2,2,0,0,1,1,0,65.85,3928.3,3950.9999999999995,0
0,0,0,0,29,1,0,1,0,0,0,0,2,0,0,1,2,78.9,2384.15,2288.1000000000004,0
1,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,114.05,8468.2,8211.6,0
1,1,1,0,43,1,2,1,0,2,0,2,2,0,0,1,2,94.3,3953.15,4054.9,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.9,69.9,69.9,1
0,0,1,1,15,1,0,0,0,2,2,2,2,2,0,0,0,76.5,1155.6,1147.5,0
1,0,0,0,3,1,0,1,0,0,0,0,2,2,0,0,3,90.7,237.65,272.1,1
1,0,1,1,49,1,2,1,0,0,2,0,2,2,0,1,2,99.8,4872.45,4890.2,1
1,0,0,0,12,1,2,1,0,0,2,0,2,0,0,1,2,89.55,1021.75,1074.6,1
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,3,80.85,80.85,80.85,1
1,0,0,0,21,1,0,2,1,1,1,1,1,1,0,0,1,20.5,402.85,430.5,0
0,0,1,0,18,1,0,1,2,0,0,0,0,0,0,0,2,74.8,1438.05,1346.3999999999999,0
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,0,1,92.45,6440.25,6656.400000000001,0
1,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,0,19.3,1414.8,1389.6000000000001,0
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,3440.7999999999997,0
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,535.15,0
0,0,1,1,72,1,2,0,2,0,2,2,2,2,2,0,1,84.7,5893.9,6098.400000000001,0
1,0,0,0,39,1,0,2,1,1,1,1,1,1,1,0,3,19.9,791.15,776.0999999999999,0
0,1,1,0,72,1,2,0,2,2,2,2,0,2,2,0,0,78.45,5682.25,5648.400000000001,0
1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,50.75,50.75,50.75,1
1,0,0,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.9,1529.65,1432.8,0
1,0,1,0,6,1,2,1,0,0,0,0,2,0,0,1,2,82.85,460.25,497.09999999999997,1
0,0,0,1,44,1,0,2,1,1,1,1,1,1,2,0,3,19.9,868.1,875.5999999999999,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.95,20.95,20.95,1
0,0,1,0,18,1,0,2,1,1,1,1,1,1,2,0,3,20.1,370.5,361.8,0
1,0,1,1,41,1,2,0,0,2,2,0,2,0,1,0,0,68.5,2839.95,2808.5,0
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.2,1027.25,969.5999999999999,0
0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,0,1,117.5,8670.1,8460.0,0
0,0,1,1,62,1,2,0,0,0,0,0,2,2,0,1,1,70.45,4300.45,4367.900000000001,0
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,19.45,0
0,0,0,0,11,1,2,1,2,0,0,0,0,0,0,1,0,79.0,929.3,869.0,0
1,0,0,0,12,1,0,1,2,0,2,0,0,0,0,0,0,81.7,858.6,980.4000000000001,0
0,0,0,0,35,1,2,1,0,0,0,0,2,0,0,1,2,86.45,3029.1,3025.75,1
1,0,0,0,17,1,0,1,0,0,0,0,0,0,0,1,2,70.8,1207.0,1203.6,0
1,0,1,1,34,1,0,1,0,0,0,0,0,2,1,1,0,78.95,2647.2,2684.3,0
0,0,1,1,59,1,2,0,2,2,2,2,2,2,2,0,1,90.3,5194.05,5327.7,0
0,0,1,1,41,1,0,0,0,2,0,2,0,2,1,1,0,66.5,2728.6,2726.5,0
1,0,1,1,35,1,2,2,1,1,1,1,1,1,2,0,0,25.45,809.25,890.75,0
0,0,1,1,72,1,2,0,2,2,2,2,2,0,2,0,0,80.2,5714.2,5774.400000000001,0
1,1,0,0,24,1,2,0,0,2,0,0,0,0,0,0,1,54.8,1291.3,1315.1999999999998,0
0,0,1,0,43,1,2,0,0,0,0,2,2,0,1,1,0,64.85,2908.2,2788.5499999999997,0
0,0,0,0,10,1,2,1,0,2,2,0,0,2,0,1,2,94.85,953.45,948.5,0
1,0,1,1,28,0,1,0,0,2,2,2,2,2,1,1,1,60.0,1682.05,1680.0,0
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,3880.75,0
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1566.9,1458.0,0
1,0,1,1,24,1,0,0,2,0,2,0,0,0,1,1,1,56.25,1454.25,1350.0,0
1,0,1,0,9,1,0,0,0,0,2,0,2,2,0,1,3,70.05,564.4,630.4499999999999,0
0,0,1,1,6,1,2,0,0,0,0,0,0,0,0,1,1,48.95,273.25,293.70000000000005,0
1,0,0,0,46,0,1,0,2,0,0,0,0,0,1,1,0,30.75,1489.3,1414.5,0
1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1125.6,1177.05,0
0,1,1,0,68,1,2,1,0,2,0,0,2,2,0,1,2,100.2,6851.65,6813.6,0
0,1,1,1,24,1,0,1,0,0,2,0,2,2,2,1,2,96.55,2263.45,2317.2,0
1,0,1,1,26,1,2,1,0,0,0,0,2,0,0,1,2,83.75,2070.6,2177.5,0
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,55.55,55.55,55.55,1
1,0,1,1,72,1,2,1,2,0,2,0,2,2,2,1,0,105.55,7542.25,7599.599999999999,0
0,1,1,0,33,1,2,1,0,2,0,0,0,0,0,1,0,80.6,2656.5,2659.7999999999997,1
1,0,0,0,39,1,0,0,0,0,0,2,0,0,2,1,0,49.8,1971.15,1942.1999999999998,0
1,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,75.85,724.65,682.65,0
0,0,1,1,41,0,1,0,2,0,2,0,0,0,1,0,1,35.4,1412.4,1451.3999999999999,0
1,0,0,0,71,1,2,1,2,0,0,2,0,2,1,0,1,97.65,6687.85,6933.150000000001,0
0,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,0,20.75,452.35,456.5,0
1,0,1,1,72,1,2,0,2,2,2,2,2,0,2,0,0,82.3,5815.15,5925.599999999999,0
0,1,0,0,13,1,0,1,0,0,2,0,2,2,0,1,2,96.85,1235.55,1259.05,1
0,0,0,0,68,1,2,2,1,1,1,1,1,1,2,0,0,25.5,1821.8,1734.0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.6,44.6,44.6,0
0,0,1,0,70,1,0,2,1,1,1,1,1,1,2,0,0,19.8,1397.65,1386.0,0
0,0,1,0,68,1,2,0,2,0,0,2,0,0,1,0,0,58.25,3975.7,3961.0,0
1,0,1,1,37,0,1,0,2,2,2,0,0,0,0,0,0,40.2,1448.8,1487.4,0
0,0,1,1,41,1,0,2,1,1,1,1,1,1,2,0,0,19.7,804.25,807.6999999999999,0
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,273.4,301.4,0
1,0,0,0,4,1,0,1,0,0,0,0,2,2,0,1,2,88.45,370.65,353.8,1
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,2,103.65,7634.8,7462.8,0
1,0,0,1,23,1,0,2,1,1,1,1,1,1,1,0,3,19.8,465.45,455.40000000000003,0
0,0,0,0,15,1,2,2,1,1,1,1,1,1,2,0,0,25.05,369.1,375.75,0
1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55,597.0,592.15,0
0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,1,3,20.5,104.3,102.5,0
0,0,1,0,46,1,0,0,2,2,0,2,0,2,1,0,3,70.6,3231.05,3247.6,0
0,0,0,0,12,0,1,0,2,0,0,2,0,0,1,1,3,33.6,435.45,403.20000000000005,0
1,0,0,0,44,1,0,2,1,1,1,1,1,1,1,0,1,19.5,835.5,858.0,0
0,0,0,0,68,0,1,0,0,2,0,2,0,2,0,0,2,44.95,3085.35,3056.6000000000004,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9,19.9,1
1,0,1,0,30,1,0,2,1,1,1,1,1,1,1,0,1,19.8,576.65,594.0,0
1,0,1,1,41,1,2,1,0,0,2,2,2,2,1,1,2,102.6,4213.35,4206.599999999999,0
1,0,1,0,14,1,2,1,0,0,0,0,0,2,0,1,2,85.15,1139.2,1192.1000000000001,1
0,0,1,0,59,1,2,1,2,2,0,0,2,0,0,1,2,94.75,5597.65,5590.25,0
0,0,0,0,56,1,0,2,1,1,1,1,1,1,2,1,0,19.55,1080.55,1094.8,0
0,1,0,0,11,1,2,1,0,0,0,0,0,2,0,1,1,84.8,906.85,932.8,1
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,5760.65,5832.0,0
0,0,0,0,36,1,2,0,0,0,2,0,0,0,1,0,2,55.8,1941.5,2008.8,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,284.35,316.0,0
0,0,1,1,30,1,0,0,0,2,2,2,2,2,2,0,0,80.8,2369.3,2424.0,0
1,0,0,0,46,1,2,1,0,0,0,0,0,0,0,0,0,72.8,3249.4,3348.7999999999997,0
1,0,1,1,25,1,0,0,2,0,0,2,0,0,0,0,2,54.3,1296.8,1357.5,0
0,1,0,0,8,1,2,1,0,0,0,0,0,0,0,1,2,75.75,606.25,606.0,0
0,0,1,1,57,1,2,0,2,2,0,2,0,0,0,0,0,65.2,3687.85,3716.4,0
0,1,1,0,72,1,2,1,2,2,2,2,2,2,2,1,1,116.75,8277.05,8406.0,0
0,1,0,0,35,1,0,1,0,0,0,0,0,0,0,0,2,70.55,2419.0,2469.25,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.4,45.4,45.4,0
1,0,1,0,6,1,2,1,0,0,0,0,0,0,0,1,2,75.5,438.0,453.0,1
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,1165.5,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.2,45.2,45.2,1
0,0,0,0,72,1,2,1,2,0,0,2,0,0,2,1,0,84.7,6185.15,6098.400000000001,0
0,0,1,1,72,0,1,0,2,2,2,2,0,2,2,0,1,55.65,3880.05,4006.7999999999997,0
1,0,0,0,9,0,1,0,0,0,0,0,2,2,0,1,2,45.4,418.8,408.59999999999997,1
0,1,0,0,49,1,0,1,0,2,2,0,0,2,1,1,0,89.85,4287.2,4402.65,0
0,0,0,0,23,1,0,1,0,2,2,2,0,0,0,0,0,83.2,2032.3,1913.6000000000001,0
1,0,1,0,35,1,2,1,0,0,0,2,2,0,0,1,1,91.5,3236.35,3202.5,0
1,0,0,0,5,0,1,0,2,2,2,2,0,0,0,1,3,43.25,219.0,216.25,0
1,0,1,1,13,1,0,1,2,0,0,0,0,2,0,0,2,84.05,1095.3,1092.6499999999999,0
0,0,1,0,45,1,0,0,0,0,2,0,0,0,0,1,1,50.25,2221.55,2261.25,0
1,0,1,0,12,1,0,0,0,0,2,2,2,2,0,1,2,74.15,741.4,889.8000000000001,0
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,1,0,21.15,1419.4,1522.8,0
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.4,19.4,19.4,0
0,0,0,0,37,1,2,0,2,2,2,2,2,0,0,1,1,78.9,2976.95,2919.3,0
1,0,0,0,45,1,0,2,1,1,1,1,1,1,1,0,0,18.85,867.3,848.2500000000001,0
1,0,1,0,9,1,0,1,0,2,2,2,2,0,0,1,3,94.85,890.6,853.65,1
1,0,0,0,15,1,0,1,0,0,2,2,2,2,0,1,2,101.35,1553.95,1520.25,0
0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,94.6,94.6,94.6,1
0,1,1,1,22,1,2,1,0,0,0,0,2,0,0,0,0,85.35,1961.6,1877.6999999999998,0
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.95,171.15,161.9,1
1,1,0,0,60,1,2,0,2,2,0,0,0,2,1,1,2,71.75,4374.55,4305.0,0
0,0,0,0,26,1,0,1,0,0,0,0,0,0,0,1,1,69.05,1815.65,1795.3,0
0,0,0,1,15,1,0,2,1,1,1,1,1,1,1,0,3,19.65,270.6,294.75,0
0,0,0,0,35,1,2,1,0,0,0,2,0,0,0,0,1,80.05,2835.9,2801.75,1
0,1,0,0,42,1,2,1,0,2,2,0,2,2,0,1,0,104.75,4323.45,4399.5,1
1,0,1,0,43,1,0,0,0,0,0,0,2,0,1,1,3,56.35,2391.15,2423.05,0
0,0,1,0,11,1,2,1,0,2,0,0,2,2,0,1,2,102.0,1145.35,1122.0,1
1,0,0,0,37,1,2,0,2,2,2,2,2,2,1,1,0,90.6,3358.65,3352.2,0
0,0,1,0,65,1,2,1,0,2,2,2,2,2,2,1,0,107.65,7082.85,6997.25,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,46.3,46.3,46.3,1
0,0,0,0,16,1,2,0,0,0,2,0,0,2,0,1,1,65.2,1043.35,1043.2,0
0,0,1,1,72,1,0,0,2,2,2,0,0,2,2,0,1,68.75,4888.2,4950.0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,24.9,24.9,24.9,1
1,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,3,42.4,146.4,169.6,0
0,0,1,0,72,1,2,0,2,2,0,2,0,0,2,0,0,64.75,4804.75,4662.0,0
1,0,0,0,30,1,2,1,2,2,2,0,0,0,1,0,0,90.4,2820.65,2712.0,0
0,0,0,0,5,1,0,1,0,2,0,0,2,0,0,1,3,85.3,420.45,426.5,1
1,0,0,1,53,1,0,1,2,2,2,0,0,2,1,0,2,95.95,5036.9,5085.35,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,25.25,25.25,1
0,0,0,0,3,1,0,0,2,2,0,0,0,0,0,0,2,55.35,165.2,166.05,0
1,0,0,0,3,1,0,1,0,0,2,2,2,0,0,1,3,89.85,244.45,269.54999999999995,1
1,1,0,0,67,1,2,1,0,0,2,0,2,2,0,1,1,101.4,6841.05,6793.8,0
1,0,1,1,23,1,0,0,2,0,0,2,0,0,1,0,1,57.2,1423.35,1315.6000000000001,0
1,0,1,1,72,1,0,0,0,2,2,0,2,2,2,1,0,75.4,5480.25,5428.8,0
0,0,0,0,26,0,1,0,0,0,2,2,2,0,0,1,1,44.45,1183.8,1155.7,0
0,1,0,0,71,1,2,0,2,2,2,2,2,2,2,0,3,89.85,6293.45,6379.349999999999,0
0,0,1,0,68,1,2,1,0,0,2,0,2,0,2,1,0,89.95,5974.3,6116.6,0
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,75.9,143.35,151.8,1
0,0,1,1,64,1,2,0,2,2,2,2,2,2,2,1,3,90.6,5817.45,5798.4,0
1,0,1,0,22,1,0,2,1,1,1,1,1,1,0,1,0,20.45,471.55,449.9,0
1,1,0,0,27,1,2,1,0,2,0,2,2,2,1,1,0,104.65,2964.0,2825.55,0
1,0,1,1,60,1,2,1,0,2,0,2,2,2,0,1,0,103.75,5969.95,6225.0,0
1,0,0,0,51,1,2,0,2,0,0,2,0,0,1,0,1,59.9,3043.6,3054.9,0
0,0,0,0,8,1,0,1,2,0,0,0,2,0,0,0,2,84.95,668.4,679.6,0
0,0,0,1,7,1,0,1,0,0,0,0,0,0,0,1,2,71.05,472.65,497.34999999999997,1
0,0,1,1,24,1,0,2,1,1,1,1,1,1,2,1,3,19.7,494.05,472.79999999999995,0
0,0,0,1,24,1,0,2,1,1,1,1,1,1,1,0,0,21.05,531.55,505.20000000000005,0
1,1,0,0,39,1,2,1,0,0,0,0,2,2,0,1,0,95.65,3759.05,3730.3500000000004,1
0,0,0,0,4,0,1,0,2,0,2,0,0,0,0,0,3,35.0,135.75,140.0,0
0,0,1,0,17,1,0,2,1,1,1,1,1,1,1,0,3,19.35,307.0,328.95000000000005,0
0,0,1,0,15,1,2,2,1,1,1,1,1,1,2,0,3,25.2,387.9,378.0,0
0,1,0,0,70,1,2,0,0,2,2,2,2,0,2,1,0,75.5,5212.65,5285.0,0
0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,1,2,79.6,79.6,79.6,1
0,0,1,1,34,0,1,0,2,0,2,2,2,2,1,0,3,61.25,1993.2,2082.5,0
0,0,1,0,26,1,2,1,0,2,0,0,0,0,0,0,0,79.3,2015.8,2061.7999999999997,0
1,0,1,1,55,1,0,2,1,1,1,1,1,1,2,0,3,20.5,1177.95,1127.5,0
0,0,1,0,27,1,2,1,0,0,2,0,0,2,0,0,0,90.15,2423.4,2434.05,0
1,0,1,1,26,1,0,0,0,0,2,0,0,0,1,0,3,50.35,1285.8,1309.1000000000001,0
1,0,0,0,39,1,2,1,0,0,0,0,0,0,0,1,1,73.15,2730.85,2852.8500000000004,0
1,1,0,0,20,1,0,1,0,0,0,0,0,0,0,0,1,71.3,1389.2,1426.0,0
1,0,1,0,24,1,0,0,2,0,0,2,0,0,0,0,3,53.6,1315.35,1286.4,0
0,0,1,0,68,1,2,1,0,2,2,2,0,0,2,0,1,90.2,6297.65,6133.6,0
1,1,1,0,16,1,0,1,0,2,0,0,0,0,0,1,1,74.3,1178.25,1188.8,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,71.1,71.1,71.1,1
1,0,1,0,70,0,1,0,0,2,2,2,0,2,1,1,0,51.05,3635.15,3573.5,0
1,1,0,0,3,1,0,1,0,0,0,0,2,0,0,1,2,79.9,260.9,239.70000000000002,1
0,0,1,0,24,1,0,1,0,2,2,0,2,2,0,1,1,99.3,2431.35,2383.2,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,91.95,6614.9,6620.400000000001,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.75,19.75,19.75,1
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,1520.1,1545.3500000000001,0
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,24.8,1
1,0,1,0,50,1,2,1,0,0,0,2,2,2,1,0,2,99.4,5059.75,4970.0,0
0,0,0,0,61,1,2,0,0,2,2,2,2,2,2,0,1,88.65,5321.25,5407.650000000001,0
1,1,1,0,11,1,0,1,0,0,0,0,0,0,0,1,2,70.2,834.7,772.2,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.55,84.4,91.1,0
0,1,0,0,64,1,2,0,0,2,2,2,0,2,0,0,1,74.65,4869.35,4777.6,0
0,0,0,0,18,0,1,0,2,2,0,2,0,0,1,1,3,40.2,711.95,723.6,0
0,0,1,0,45,1,2,2,1,1,1,1,1,1,2,0,3,25.5,1121.05,1147.5,0
1,0,1,1,31,1,2,0,0,0,0,0,0,2,0,0,0,59.7,1825.5,1850.7,0
0,0,1,1,61,1,2,2,1,1,1,1,1,1,2,1,3,24.1,1551.6,1470.1000000000001,0
0,1,0,0,31,1,0,1,2,0,0,0,0,0,0,1,1,73.55,2094.65,2280.0499999999997,0
0,0,1,0,57,1,0,2,1,1,1,1,1,1,2,0,0,19.9,1115.6,1134.3,0
0,0,1,1,28,1,2,1,0,0,0,2,0,2,1,1,2,90.45,2509.25,2532.6,0
1,0,0,0,37,1,0,0,2,2,2,2,0,0,2,0,0,65.6,2313.8,2427.2,0
0,0,1,0,46,1,2,1,0,2,0,2,2,2,1,1,2,103.15,4594.65,4744.900000000001,0
0,0,0,0,19,1,0,2,1,1,1,1,1,1,0,0,3,19.9,367.55,378.09999999999997,0
0,0,0,0,63,1,0,2,1,1,1,1,1,1,2,1,3,20.6,1298.7,1297.8000000000002,0
1,0,0,1,69,1,2,0,2,2,2,2,2,0,2,1,1,79.45,5502.55,5482.05,0
0,0,1,1,19,1,2,1,0,0,0,2,0,2,1,1,0,89.35,1686.85,1697.6499999999999,0
0,0,1,0,31,1,0,1,0,2,0,0,0,2,0,1,0,83.85,2674.15,2599.35,1
0,1,0,0,18,1,0,2,1,1,1,1,1,1,1,0,0,20.35,369.6,366.3,0
0,0,0,0,44,1,2,0,0,0,0,0,0,0,0,1,3,50.15,2139.1,2206.6,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.3,70.3,70.3,1
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,89.9,89.9,1
0,0,0,0,11,0,1,0,0,0,0,0,2,0,0,1,3,35.8,363.15,393.79999999999995,0
0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,20.85,450.65,458.70000000000005,0
1,0,1,0,23,1,2,1,0,2,2,0,0,0,0,0,2,84.25,1968.1,1937.75,0
0,0,0,0,37,1,0,1,0,2,2,0,0,0,1,0,2,80.05,3019.1,2961.85,0
1,0,1,0,46,0,1,0,2,0,2,2,0,0,2,0,1,40.4,1842.7,1858.3999999999999,0
0,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,1,19.35,433.75,387.0,0
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,50.8,50.8,50.8,0
0,0,1,1,58,1,2,0,2,0,2,2,2,0,2,0,3,75.8,4415.75,4396.4,0
0,0,1,1,71,1,2,1,2,2,2,2,0,0,1,1,1,95.15,6770.85,6755.650000000001,0
0,0,0,0,29,1,2,0,0,0,0,0,2,2,1,1,1,71.0,2080.1,2059.0,0
0,0,1,0,64,1,2,0,2,2,2,2,0,2,2,1,3,81.3,5129.3,5203.2,0
1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.65,73.65,73.65,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.05,20.05,20.05,0
1,0,1,1,70,0,1,0,0,2,2,2,2,2,1,0,2,60.35,4138.7,4224.5,0
1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,257.0,259.34999999999997,0
1,0,0,0,57,0,1,0,0,2,0,0,2,0,0,1,2,39.3,2111.45,2240.1,0
0,1,0,0,57,1,2,1,2,0,2,2,0,2,2,0,1,101.3,5779.6,5774.099999999999,0
